recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients,
79,Condiments,"Lea & Perrins Worcestershire Sauce 150Ml, £1.70 each",2 tbsp worcestershire sauce,1,£1.70,2 tbsp,worcestershire sauce,worcestershire sauce,
80,Condiments,"Tesco Tomato Puree Tube 200G, £0.60 each",3 tbsp tomato purée,1,£0.60,3 tbsp,tomato purée,tomato purée,
81,Condiments,"Amoy Reduced Salt Soy Sauce 150Ml, £2.00 each",1 tbsp reduced-salt soy sauce,1,£2.00,1 tbsp,reduced-salt soy sauce,soy sauce,
81,Condiments,"Lee Kum Kee Wok Sesame Oil 207Ml, £2.40 each",1 tsp sesame oil,1,£2.40,1 tsp,sesame oil,sesame oil,
83,Condiments,"Tesco Dijon Mustard 185G, £0.80 each",1 tbsp dijon mustard,1,£0.80,1 tbsp,dijon mustard,dijon mustard,
83,Condiments,"Tesco Wholegrain Mustard 180G, £0.80 each",1 tbsp wholegrain mustard,1,£0.80,1 tbsp,wholegrain mustard,wholegrain mustard,
84,Condiments,"Tesco Organic Balsamic Vinegar Of Modena 250Ml, £2.00 each",3 tbsp balsamic vinegar,1,£2.00,3 tbsp,balsamic vinegar,balsamic vinegar,
85,Condiments,"Nandos Medium Peri Peri Sauce 125G, £2.00 each",peri peri sauce,1,£2.00,,peri peri sauce,peri peri sauce,
87,Condiments,"Tesco Guacamole 163G, £1.20 each",guacamole,1,£1.20,,guacamole,guacamole,
87,Condiments,"Flora Pure Sunflower Oil 1Lt Plus 25%, £3.50 each",2 tbsp sunflower oil,1,£3.50,2 tbsp,sunflower oil,cooking oil,
88,Condiments,"Tesco Harissa Paste 90G, £2.10 each",harissa paste,1,£2.10,,harissa paste,harissa paste,
90,Condiments,"Blue Dragon Fish Sauce 150Ml, £1.75 each",4 tbsp fish sauce,1,£1.75,4 tbsp,fish sauce,fish sauce,
90,Condiments,"Kikkoman Soy Sauce 1 Litre, £6.90 each",80ml soy sauce,1,£6.90,80ml,soy sauce,soy sauce,
