Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
94,14,14.73,13.11,1.62,8.13,8.13,0,21.24,1.62,23,3
102,14,21.08,16.37,4.71,8.13,6.03,2.1,22.4,6.81,11,3
103,14,11.81,9.79,2.02,8.13,8.13,0,17.92,2.02,22,3
114,14,11.25,4.4,6.85,8.13,8.13,0,12.53,6.85,22,5
119,14,12.95,11.75,1.2,8.13,8.13,0,19.88,1.2,23,2
127,14,17.33,11.03,6.3,8.13,8.13,0,19.16,6.3,23,3
132,14,11.51,10.02,1.49,8.13,8.13,0,18.15,1.49,22,3
133,14,12.8,12.25,0.550000000000001,8.13,8.13,0,20.38,0.550000000000001,24,1
136,14,16.25,14.2,2.05,8.13,8.13,0,22.33,2.05,24,3
139,14,13.9,10.45,3.45,8.13,8.13,0,18.58,3.45,23,3
143,14,18.72,15.15,3.57,8.13,8.13,0,23.28,3.57,22,3
145,14,12.36,11.41,0.949999999999999,8.13,8.13,0,19.54,0.949999999999999,23,1
148,14,9.42,7.92,1.5,8.13,8.13,0,16.05,1.5,23,2
149,14,21.92,17.26,4.66,8.13,8.13,0,25.39,4.66,23,3
3,21,8.85,2.5,6.35,19.3,19.3,0,21.8,6.35,21,3
8,21,10.21,8.37,1.84,19.3,19.3,0,27.67,1.84,15,2
9,21,7.35,7.35,0,19.3,19.3,0,26.65,0,20,0
10,21,13.58,9.52,4.06,19.3,19.3,0,28.82,4.06,20,3
14,21,8.13,5.68,2.45,19.3,19.3,0,24.98,2.45,20,3
29,21,24.58,21.88,2.7,19.3,19.3,0,41.18,2.7,20,2
33,21,13.23,13.23,0,19.3,19.3,0,32.53,0,21,0
36,21,8.3,5.94,2.36,19.3,19.3,0,25.24,2.36,22,4
37,21,8.8,7.85,0.95,19.3,19.3,0,27.15,0.95,20,1
39,21,7.81,6.65,1.16,19.3,19.3,0,25.95,1.16,20,2
46,21,24.77,19.77,5,19.3,18.15,1.15,37.92,6.15,11,3
49,21,12.68,11.67,1.01,19.3,19.3,0,30.97,1.01,23,2
52,21,10,7.64,2.36,19.3,19.3,0,26.94,2.36,20,3
53,21,7.83,6.02,1.81,19.3,19.3,0,25.32,1.81,22,2
54,21,7.17,6.62,0.55,19.3,19.3,0,25.92,0.55,20,1
57,21,9.45,6.94,2.51,19.3,19.3,0,26.24,2.51,20,2
58,21,14.43,11.35,3.08,19.3,19.3,0,30.65,3.08,23,4
59,21,9.28,7.08,2.2,19.3,19.3,0,26.38,2.2,21,3
60,21,17.5,15.85,1.65,19.3,19.3,0,35.15,1.65,22,2
62,21,10.02,8.37,1.65,19.3,19.3,0,27.67,1.65,22,2
67,21,16.18,12.91,3.27,19.3,19.3,0,32.21,3.27,22,3
71,21,13.15,12.87,0.279999999999999,19.3,19.3,0,32.17,0.279999999999999,20,1
74,21,13.49,12.54,0.949999999999999,19.3,19.3,0,31.84,0.949999999999999,20,1
75,21,12.92,9.65,3.27,19.3,19.3,0,28.95,3.27,22,4
76,21,16.68,13.77,2.91,19.3,19.3,0,33.07,2.91,21,4
79,21,26.6,16.9,9.7,19.3,18.15,1.15,35.05,10.85,11,4
82,21,6.65,5.1,1.55,19.3,19.3,0,24.4,1.55,21,2
87,21,18.99,14.27,4.72,19.3,19.3,0,33.57,4.72,22,4
88,21,6.17,6.17,0,19.3,18.15,1.15,24.32,1.15,11,0
91,21,15.89,14.82,1.07,19.3,19.3,0,34.12,1.07,20,2
93,21,6.35,4.45,1.9,19.3,19.3,0,23.75,1.9,21,2
94,21,14.73,13.11,1.62,19.3,19.3,0,32.41,1.62,21,3
102,21,21.08,16.37,4.71,19.3,19.3,0,35.67,4.71,21,3
103,21,11.81,9.79,2.02,19.3,19.3,0,29.09,2.02,20,3
114,21,11.25,4.4,6.85,19.3,19.3,0,23.7,6.85,20,5
119,21,12.95,11.75,1.2,19.3,19.3,0,31.05,1.2,21,2
127,21,17.33,11.03,6.3,19.3,19.3,0,30.33,6.3,21,3
132,21,11.51,10.02,1.49,19.3,19.3,0,29.32,1.49,20,3
133,21,12.8,12.25,0.550000000000001,19.3,18.15,1.15,30.4,1.7,13,1
136,21,16.25,14.2,2.05,19.3,19.3,0,33.5,2.05,22,3
139,21,13.9,10.45,3.45,19.3,19.3,0,29.75,3.45,21,3
143,21,18.72,15.15,3.57,19.3,19.3,0,34.45,3.57,20,3
145,21,12.36,11.41,0.949999999999999,19.3,19.3,0,30.71,0.949999999999999,21,1
148,21,9.42,7.92,1.5,19.3,19.3,0,27.22,1.5,21,2
149,21,21.92,17.26,4.66,19.3,19.3,0,36.56,4.66,21,3
3,23,8.85,2.5,6.35,13.02,13.02,0,15.52,6.35,26,3
8,23,10.21,8.37,1.84,13.02,13.02,0,21.39,1.84,16,2
9,23,7.35,7.35,0,13.02,13.02,0,20.37,0,25,0
10,23,13.58,9.52,4.06,13.02,13.02,0,22.54,4.06,25,3
14,23,8.13,5.68,2.45,13.02,13.02,0,18.7,2.45,25,3
21,23,19.3,12.55,6.75,13.02,13.02,0,25.57,6.75,26,5
29,23,24.58,21.88,2.7,13.02,13.02,0,34.9,2.7,25,2
33,23,13.23,13.23,0,13.02,13.02,0,26.25,0,26,0
36,23,8.3,5.94,2.36,13.02,13.02,0,18.96,2.36,27,4
37,23,8.8,7.85,0.95,13.02,13.02,0,20.87,0.95,25,1
39,23,7.81,6.65,1.16,13.02,13.02,0,19.67,1.16,25,2
46,23,24.77,19.77,5,13.02,13.02,0,32.79,5,13,3
49,23,12.68,11.67,1.01,13.02,13.02,0,24.69,1.01,15,2
52,23,10,7.64,2.36,13.02,13.02,0,20.66,2.36,12,3
53,23,7.83,6.02,1.81,13.02,13.02,0,19.04,1.81,27,2
54,23,7.17,6.62,0.55,13.02,13.02,0,19.64,0.55,25,1
57,23,9.45,6.94,2.51,13.02,13.02,0,19.96,2.51,12,2
58,23,14.43,11.35,3.08,13.02,13.02,0,24.37,3.08,15,4
59,23,9.28,7.08,2.2,13.02,13.02,0,20.1,2.2,13,3
60,23,17.5,15.85,1.65,13.02,13.02,0,28.87,1.65,27,2
62,23,10.02,8.37,1.65,13.02,13.02,0,21.39,1.65,14,2
67,23,16.18,12.91,3.27,13.02,13.02,0,25.93,3.27,14,3
71,23,13.15,12.87,0.279999999999999,13.02,13.02,0,25.89,0.279999999999999,25,1
74,23,13.49,12.54,0.949999999999999,13.02,13.02,0,25.56,0.949999999999999,12,1
75,23,12.92,9.65,3.27,13.02,13.02,0,22.67,3.27,27,4
76,23,16.68,13.77,2.91,13.02,13.02,0,26.79,2.91,13,4
79,23,26.6,16.9,9.7,13.02,13.02,0,29.92,9.7,25,4
82,23,6.65,5.1,1.55,13.02,13.02,0,18.12,1.55,26,2
87,23,18.99,14.27,4.72,13.02,13.02,0,27.29,4.72,14,4
88,23,6.17,6.17,0,13.02,13.02,0,19.19,0,25,0
91,23,15.89,14.82,1.07,13.02,13.02,0,27.84,1.07,25,2
93,23,6.35,4.45,1.9,13.02,13.02,0,17.47,1.9,26,2
94,23,14.73,13.11,1.62,13.02,13.02,0,26.13,1.62,26,3
102,23,21.08,16.37,4.71,13.02,13.02,0,29.39,4.71,26,3
103,23,11.81,9.79,2.02,13.02,13.02,0,22.81,2.02,25,3
114,23,11.25,4.4,6.85,13.02,13.02,0,17.42,6.85,25,5
119,23,12.95,11.75,1.2,13.02,13.02,0,24.77,1.2,26,2
127,23,17.33,11.03,6.3,13.02,13.02,0,24.05,6.3,26,3
132,23,11.51,10.02,1.49,13.02,13.02,0,23.04,1.49,25,3
