Meal1_ID,Meal2_ID,M1_cost,M1_newcost,M1_savings,M2_cost,M2_newcost,M2_savings,Total_cost,Total_Savings,Total leftovers,no.custinginm1
93,59,6.35,4.45,1.9,9.28,9.28,0,13.73,1.9,24,2
53,72,7.83,6.02,1.81,7.72,7.72,0,13.74,1.81,28,2
3,114,8.85,2.5,6.35,11.25,11.25,0,13.75,6.35,13,3
36,39,8.3,5.94,2.36,7.81,7.81,0,13.75,2.36,25,4
36,53,8.3,5.94,2.36,7.83,7.83,0,13.77,2.36,27,4
37,61,8.8,7.85,0.95,5.93,5.93,0,13.78,0.95,25,1
9,56,7.35,7.35,0,6.44,6.44,0,13.79,0,23,0
52,88,10,7.64,2.36,6.17,6.17,0,13.81,2.36,27,3
114,148,11.25,4.4,6.85,9.42,9.42,0,13.82,6.85,26,5
39,54,7.81,6.65,1.16,7.17,7.17,0,13.82,1.16,27,2
52,8,10,7.64,2.36,10.21,6.19,4.02,13.83,6.38,12,3
53,39,7.83,6.02,1.81,7.81,7.81,0,13.83,1.81,26,2
114,57,11.25,4.4,6.85,9.45,9.45,0,13.85,6.85,25,5
148,61,9.42,7.92,1.5,5.93,5.93,0,13.85,1.5,26,2
93,148,6.35,4.45,1.9,9.42,9.42,0,13.87,1.9,27,2
31,52,4.82,3.87,0.95,10,10,0,13.87,0.95,23,1
57,131,9.45,6.94,2.51,6.95,6.95,0,13.89,2.51,27,2
31,62,4.82,3.87,0.95,10.02,10.02,0,13.89,0.95,25,1
93,57,6.35,4.45,1.9,9.45,9.45,0,13.9,1.9,26,2
82,37,6.65,5.1,1.55,8.8,8.8,0,13.9,1.55,26,2
10,78,13.58,9.52,4.06,4.4,4.4,0,13.92,4.06,27,3
82,148,6.65,5.1,1.55,9.42,8.82,0.6,13.92,2.15,14,2
72,54,7.72,6.77,0.95,7.17,7.17,0,13.94,0.95,27,1
52,69,10,7.64,2.36,6.33,6.33,0,13.97,2.36,12,3
148,82,9.42,7.92,1.5,6.65,6.05,0.600000000000001,13.97,2.1,14,2
54,9,7.17,6.62,0.55,7.35,7.35,0,13.97,0.55,28,1
14,36,8.13,5.68,2.45,8.3,8.3,0,13.98,2.45,22,3
52,93,10,7.64,2.36,6.35,6.35,0,13.99,2.36,25,3
39,9,7.81,6.65,1.16,7.35,7.35,0,14,1.16,28,2
9,82,7.35,7.35,0,6.65,6.65,0,14,0,25,0
36,59,8.3,5.94,2.36,9.28,8.06,1.22,14,3.58,12,4
3,132,8.85,2.5,6.35,11.51,11.51,0,14.01,6.35,23,3
37,88,8.8,7.85,0.95,6.17,6.17,0,14.02,0.95,27,1
59,131,9.28,7.08,2.2,6.95,6.95,0,14.03,2.2,27,3
26,31,10.72,9.22,1.5,4.82,4.82,0,14.04,1.5,27,2
75,78,12.92,9.65,3.27,4.4,4.4,0,14.05,3.27,28,4
36,14,8.3,5.94,2.36,8.13,8.13,0,14.07,2.36,24,4
52,56,10,7.64,2.36,6.44,6.44,0,14.08,2.36,23,3
31,8,4.82,3.87,0.95,10.21,10.21,0,14.08,0.95,27,1
148,88,9.42,7.92,1.5,6.17,6.17,0,14.09,1.5,28,2
57,54,9.45,6.94,2.51,7.17,7.17,0,14.11,2.51,27,2
72,9,7.72,6.77,0.95,7.35,7.35,0,14.12,0.95,28,1
53,14,7.83,6.02,1.81,8.13,8.13,0,14.15,1.81,25,2
37,69,8.8,7.85,0.95,6.33,6.33,0,14.18,0.95,25,1
103,78,11.81,9.79,2.02,4.4,4.4,0,14.19,2.02,27,3
36,37,8.3,5.94,2.36,8.8,8.28,0.52,14.22,2.88,13,4
59,54,9.28,7.08,2.2,7.17,7.17,0,14.25,2.2,27,3
148,69,9.42,7.92,1.5,6.33,6.33,0,14.25,1.5,26,2
3,145,8.85,2.5,6.35,12.36,11.76,0.6,14.26,6.95,14,3
148,93,9.42,7.92,1.5,6.35,6.35,0,14.27,1.5,26,2
57,9,9.45,6.94,2.51,7.35,7.35,0,14.29,2.51,28,2
52,82,10,7.64,2.36,6.65,6.65,0,14.29,2.36,25,3
37,56,8.8,7.85,0.95,6.44,6.44,0,14.29,0.95,23,1
8,61,10.21,8.37,1.84,5.93,5.93,0,14.3,1.84,28,2
62,61,10.02,8.37,1.65,5.93,5.93,0,14.3,1.65,26,2
9,131,7.35,7.35,0,6.95,6.95,0,14.3,0,27,0
3,103,8.85,2.5,6.35,11.81,11.81,0,14.31,6.35,23,3
132,31,11.51,10.02,1.49,4.82,4.3,0.52,14.32,2.01,13,3
53,36,7.83,6.02,1.81,8.3,8.3,0,14.32,1.81,24,2
10,31,13.58,9.52,4.06,4.82,4.82,0,14.34,4.06,26,3
54,72,7.17,6.62,0.55,7.72,7.72,0,14.34,0.55,26,1
148,56,9.42,7.92,1.5,6.44,6.44,0,14.36,1.5,24,2
39,72,7.81,6.65,1.16,7.72,7.72,0,14.37,1.16,26,2
82,59,6.65,5.1,1.55,9.28,9.28,0,14.38,1.55,23,2
114,52,11.25,4.4,6.85,10,10,0,14.4,6.85,23,5
114,62,11.25,4.4,6.85,10.02,10.02,0,14.42,6.85,25,5
132,78,11.51,10.02,1.49,4.4,4.4,0,14.42,1.49,27,3
59,9,9.28,7.08,2.2,7.35,7.35,0,14.43,2.2,28,3
54,39,7.17,6.62,0.55,7.81,7.81,0,14.43,0.55,24,1
93,52,6.35,4.45,1.9,10,10,0,14.45,1.9,24,2
54,53,7.17,6.62,0.55,7.83,7.83,0,14.45,0.55,26,1
93,62,6.35,4.45,1.9,10.02,10.02,0,14.47,1.9,26,2
75,31,12.92,9.65,3.27,4.82,4.82,0,14.47,3.27,27,4
14,37,8.13,5.68,2.45,8.8,8.8,0,14.48,2.45,26,3
39,53,7.81,6.65,1.16,7.83,7.83,0,14.48,1.16,26,2
37,82,8.8,7.85,0.95,6.65,6.65,0,14.5,0.95,25,1
9,54,7.35,7.35,0,7.17,7.17,0,14.52,0,27,0
14,3,8.13,5.68,2.45,8.85,8.85,0,14.53,2.45,25,3
8,88,10.21,8.37,1.84,6.17,6.17,0,14.54,1.84,30,2
62,88,10.02,8.37,1.65,6.17,6.17,0,14.54,1.65,28,2
82,57,6.65,5.1,1.55,9.45,9.45,0,14.55,1.55,25,2
62,8,10.02,8.37,1.65,10.21,6.19,4.02,14.56,5.67,13,2
72,39,7.72,6.77,0.95,7.81,7.81,0,14.58,0.95,24,1
52,131,10,7.64,2.36,6.95,6.95,0,14.59,2.36,27,3
31,26,4.82,3.87,0.95,10.72,10.72,0,14.59,0.95,26,1
72,53,7.72,6.77,0.95,7.83,7.83,0,14.6,0.95,26,1
114,8,11.25,4.4,6.85,10.21,10.21,0,14.61,6.85,27,5
103,31,11.81,9.79,2.02,4.82,4.82,0,14.61,2.02,26,3
127,93,17.33,11.03,6.3,6.35,3.62,2.73,14.65,9.03,13,3
93,8,6.35,4.45,1.9,10.21,10.21,0,14.66,1.9,28,2
57,72,9.45,6.94,2.51,7.72,7.72,0,14.66,2.51,26,2
37,36,8.8,7.85,0.95,8.3,6.83,1.47,14.68,2.42,11,1
8,69,10.21,8.37,1.84,6.33,6.33,0,14.7,1.84,15,2
62,69,10.02,8.37,1.65,6.33,6.33,0,14.7,1.65,13,2
8,93,10.21,8.37,1.84,6.35,6.35,0,14.72,1.84,28,2
62,93,10.02,8.37,1.65,6.35,6.35,0,14.72,1.65,26,2
132,53,11.51,10.02,1.49,7.83,4.71,3.12,14.73,4.61,12,3
139,31,13.9,10.45,3.45,4.82,4.3,0.52,14.75,3.97,14,3
57,39,9.45,6.94,2.51,7.81,7.81,0,14.75,2.51,24,2
54,14,7.17,6.62,0.55,8.13,8.13,0,14.75,0.55,23,1
57,53,9.45,6.94,2.51,7.83,7.83,0,14.77,2.51,26,2
39,14,7.81,6.65,1.16,8.13,8.13,0,14.78,1.16,23,2
36,3,8.3,5.94,2.36,8.85,8.85,0,14.79,2.36,26,4
59,72,9.28,7.08,2.2,7.72,7.72,0,14.8,2.2,26,3
37,131,8.8,7.85,0.95,6.95,6.95,0,14.8,0.95,27,1
